02/25/2021 14:20:58 - WARNING - __main__ -   Process rank: -1, device: cuda, n_gpu: 1, distributed training: False, 16-bits training: False, world size: 1
02/25/2021 14:21:01 - INFO - __main__ -   Model has a total of 125826048 trainable parameters
02/25/2021 14:21:01 - INFO - __main__ -   Training/evaluation parameters Namespace(adam_epsilon=1e-08, block_size=512, cache_dir='', config_dir=None, data_dir='../great/', device=device(type='cuda'), do_eval=False, do_lower_case=False, do_train=True, eval_all_checkpoints=False, evaluate_during_training=True, fp16=False, fp16_opt_level='O1', gpu_per_node=1, gradient_accumulation_steps=4, langs='PYTHON', learning_rate=4e-05, load_name='pretrained', local_rank=-1, log_file='varmis.log', logging_steps=100, max_grad_norm=1.0, max_steps=-1, mlm=True, mlm_probability=0.15, n_gpu=1, no_cuda=False, node_index=0, not_pretrain=False, num_train_epochs=20.0, output_dir='./save/varmis', overwrite_cache=False, overwrite_output_dir=True, per_gpu_eval_batch_size=16, per_gpu_train_batch_size=8, pretrain_dir='../.code-bert-cache/codebert-base', save_steps=4000, save_total_limit=None, seed=2233, server_ip='', server_port='', start_epoch=0, start_step=0, tensorboard_dir=None, tokenizer_dir=None, warmup_steps=0, weight_decay=0.01)
02/25/2021 14:21:01 - WARNING - __main__ -   Loading features from cached file ./save/varmis/train_langs_PYTHON_blocksize_512_wordsize_1_rank_0
02/25/2021 14:23:02 - INFO - __main__ -   ***** Running training *****
02/25/2021 14:23:02 - INFO - __main__ -     Num examples = 1645696
02/25/2021 14:23:02 - INFO - __main__ -     Num epoch = 20
02/25/2021 14:23:02 - INFO - __main__ -     Instantaneous batch size per GPU = 8
02/25/2021 14:23:02 - INFO - __main__ -     Total train batch size (w. parallel, distributed & accumulation) = 32
02/25/2021 14:23:02 - INFO - __main__ -     Gradient Accumulation steps = 4
02/25/2021 14:23:02 - INFO - __main__ -     Total optimization steps = 1028560
02/25/2021 16:32:07 - INFO - __main__ -     steps: 14100  ppl: 3.3984
02/25/2021 16:32:59 - INFO - __main__ -     steps: 14200  ppl: 3.0869
02/25/2021 16:33:52 - INFO - __main__ -     steps: 14300  ppl: 3.3118
02/25/2021 16:34:43 - INFO - __main__ -     steps: 14400  ppl: 3.5031
02/25/2021 16:35:36 - INFO - __main__ -     steps: 14500  ppl: 3.1788
02/25/2021 16:36:28 - INFO - __main__ -     steps: 14600  ppl: 3.2865
02/25/2021 16:37:19 - INFO - __main__ -     steps: 14700  ppl: 3.0181
02/25/2021 16:38:12 - INFO - __main__ -     steps: 14800  ppl: 3.3652
02/25/2021 16:39:04 - INFO - __main__ -     steps: 14900  ppl: 3.1528
02/25/2021 16:39:56 - INFO - __main__ -     steps: 15000  ppl: 3.368
02/25/2021 16:40:48 - INFO - __main__ -     steps: 15100  ppl: 2.9591
02/25/2021 16:41:40 - INFO - __main__ -     steps: 15200  ppl: 3.2432
02/25/2021 16:42:31 - INFO - __main__ -     steps: 15300  ppl: 2.8657
02/25/2021 16:43:23 - INFO - __main__ -     steps: 15400  ppl: 3.4588
02/25/2021 16:44:15 - INFO - __main__ -     steps: 15500  ppl: 3.4453
02/25/2021 16:45:06 - INFO - __main__ -     steps: 15600  ppl: 3.4382
02/25/2021 16:45:58 - INFO - __main__ -     steps: 15700  ppl: 3.2828
02/25/2021 16:46:50 - INFO - __main__ -     steps: 15800  ppl: 3.2506
02/25/2021 16:47:41 - INFO - __main__ -     steps: 15900  ppl: 3.2439
02/25/2021 16:48:32 - INFO - __main__ -     steps: 16000  ppl: 3.1282
02/25/2021 16:49:58 - INFO - __main__ -     cross_entropy = 1.0849
02/25/2021 16:50:00 - INFO - __main__ -   Saving model checkpoint to ./save/varmis/checkpoint-16000-1.0849
02/25/2021 16:50:14 - INFO - __main__ -   Saving optimizer and scheduler states to ./save/varmis/checkpoint-last
02/25/2021 16:51:06 - INFO - __main__ -     steps: 16100  ppl: 3.2394
02/25/2021 16:51:57 - INFO - __main__ -     steps: 16200  ppl: 3.1376
02/25/2021 16:52:49 - INFO - __main__ -     steps: 16300  ppl: 3.6865
02/25/2021 16:53:39 - INFO - __main__ -     steps: 16400  ppl: 2.9079
02/25/2021 16:54:31 - INFO - __main__ -     steps: 16500  ppl: 3.0904
02/25/2021 16:55:23 - INFO - __main__ -     steps: 16600  ppl: 3.1162
02/25/2021 16:56:15 - INFO - __main__ -     steps: 16700  ppl: 3.0793
02/25/2021 16:57:07 - INFO - __main__ -     steps: 16800  ppl: 2.9235
02/25/2021 16:57:59 - INFO - __main__ -     steps: 16900  ppl: 3.4571
02/25/2021 16:58:52 - INFO - __main__ -     steps: 17000  ppl: 3.5064
02/25/2021 16:59:44 - INFO - __main__ -     steps: 17100  ppl: 3.4351
02/25/2021 17:00:36 - INFO - __main__ -     steps: 17200  ppl: 3.7348
02/25/2021 17:01:29 - INFO - __main__ -     steps: 17300  ppl: 3.3795
02/25/2021 17:02:21 - INFO - __main__ -     steps: 17400  ppl: 3.1215
02/25/2021 17:03:13 - INFO - __main__ -     steps: 17500  ppl: 3.15
02/25/2021 17:04:05 - INFO - __main__ -     steps: 17600  ppl: 3.1056
02/25/2021 17:04:57 - INFO - __main__ -     steps: 17700  ppl: 3.2388
02/25/2021 17:05:49 - INFO - __main__ -     steps: 17800  ppl: 2.9839
02/25/2021 17:06:41 - INFO - __main__ -     steps: 17900  ppl: 3.2579
02/25/2021 17:07:32 - INFO - __main__ -     steps: 18000  ppl: 3.1015
02/25/2021 17:08:24 - INFO - __main__ -     steps: 18100  ppl: 3.6071
02/25/2021 17:09:17 - INFO - __main__ -     steps: 18200  ppl: 2.978
02/25/2021 17:10:09 - INFO - __main__ -     steps: 18300  ppl: 2.9926
02/25/2021 17:11:00 - INFO - __main__ -     steps: 18400  ppl: 3.3399
02/25/2021 17:11:52 - INFO - __main__ -     steps: 18500  ppl: 3.1275
02/25/2021 17:12:45 - INFO - __main__ -     steps: 18600  ppl: 3.2773
02/25/2021 17:13:37 - INFO - __main__ -     steps: 18700  ppl: 3.0807
